date,market_group,arrivals,index_2019
2021-01-01,Oceania,642,0.5942779915810618
2021-01-01,Other,28131,1.61034515049127
2021-01-01,Total,23366,1.4667909882477606
2021-02-01,ASEAN,5640,1.039667908441019
2021-02-01,Americas,659,0.6611968264558997
2021-02-01,Europe,1854,0.6873996808324927
2021-02-01,Greater China,4753,1.3756479252042693
2021-02-01,North Asia,358,0.48569538894635983
2021-02-01,Oceania,265,0.24530166319155977
2021-02-01,Other,22753,1.3024842063605229
2021-02-01,Total,18141,1.1387937737654124
2021-03-01,ASEAN,7298,1.3453007793976164
2021-03-01,Americas,741,0.74347017967196
2021-03-01,Europe,1741,0.6455031522812135
2021-03-01,Greater China,9151,2.6485491612758825
2021-03-01,North Asia,603,0.8180846914375838
2021-03-01,Oceania,302,0.27955132937302285
2021-03-01,Other,34568,1.9788280246767702
2021-03-01,Total,27202,1.7075943020763324
2021-04-01,ASEAN,7250,1.3364525418789694
2021-04-01,Americas,805,0.8076835285235194
2021-04-01,Europe,1657,0.614358830172298
2021-04-01,Greater China,9289,2.688490127755619
2021-04-01,North Asia,797,1.08128275136941
2021-04-01,Oceania,281,0.2601123296484087
2021-04-01,Other,31394,1.7971339680254144
2021-04-01,Total,25737,1.6156295328482673
2021-05-01,ASEAN,4467,0.8234391040790836
2021-05-01,Americas,430,0.43143343759641406
2021-05-01,Europe,800,0.29661259151348124
2021-05-01,Greater China,7674,2.2210650490253654
2021-05-01,North Asia,281,0.3812301795919752
2021-05-01,Oceania,282,0.26103799630196173
2021-05-01,Other,14446,0.8269541091321633
2021-05-01,Total,14190,0.8907713824889036
2021-06-01,ASEAN,1557,0.2870147045111111
2021-06-01,Americas,284,0.2849467355287944
2021-06-01,Europe,431,0.159800033677888
2021-06-01,Greater China,7354,2.128448315159309
2021-06-01,North Asia,121,0.16415961469974732
2021-06-01,Oceania,251,0.23234233004181698
2021-06-01,Other,10060,0.5758797132680025
2021-06-01,Total,10029,0.6295663280465972
2021-07-01,ASEAN,1949,0.3592753109133947
2021-07-01,Americas,869,0.8718968773750786
2021-07-01,Europe,1302,0.4827369926881907
2021-07-01,Greater China,13435,3.8884556859077124
2021-07-01,North Asia,297,0.40293723608119797
2021-07-01,Oceania,362,0.3350913285862062
2021-07-01,Other,18817,1.0771698374318093
2021-07-01,Total,18517,1.1623970182908405
2021-08-01,ASEAN,1911,0.35227045621113245
2021-08-01,Americas,1174,1.177913617995791
2021-08-01,Europe,2325,0.8620303440860548
2021-08-01,Greater China,9522,2.7559266871018413
2021-08-01,North Asia,341,0.46263164142656066
2021-08-01,Oceania,351,0.32490899539712254
2021-08-01,Other,16147,0.9243270109481547
2021-08-01,Total,15887,0.9972998557858499
2021-09-01,ASEAN,2744,0.5058242448159851
2021-09-01,Americas,1082,1.0856069290216745
2021-09-01,Europe,3881,1.4389418345797758
2021-09-01,Greater China,9657,2.794999371701584
2021-09-01,North Asia,780,1.0582190038496107
2021-09-01,Oceania,353,0.32676032870422866
2021-09-01,Other,19520,1.1174127239554081
2021-09-01,Total,19009,1.1932821148507096
2021-10-01,ASEAN,6420,1.1834517681190322
2021-10-01,Americas,1344,1.3484803258827454
2021-10-01,Europe,5476,2.030313188909779
2021-10-01,Greater China,6593,1.9081941449340938
2021-10-01,North Asia,779,1.0568623128190342
2021-10-01,Oceania,321,0.2971389957905309
2021-10-01,Other,27072,1.549723220436517
2021-10-01,Total,24006,1.5069667236101916
2021-11-01,ASEAN,12891,2.376304788601627
2021-11-01,Americas,2572,2.5805739569720396
2021-11-01,Europe,8432,3.1262967145520917
2021-11-01,Greater China,4028,1.165813137538985
